Filename,Label,Wind_Speed_Vw,Num_Samples,Columns,RMS,Kurtosis,Skewness,Peak_to_Peak,Mean,Std
H-Vw=5.3.csv_aug_1,Healthy,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0036439199486516887,5.633576656343689,0.9739438837157809,0.028851757036889032,0.0007161578572348784,0.0035728518743018823
H-Vw=5.3.csv_aug_2,Healthy,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0036426595154189947,5.602763632648426,0.96659835899748,0.028676823093187594,0.000714374482399157,0.0035719234936052984
twist fault when Vw=1.3.xlsx,Twist,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005490414931740587,4.007517749644134,0.4945988336360255,0.036645,0.00039788640000000005,0.005475978682881722
twist fault when Vw=1.3.xlsx_aug_1,Twist,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005489972337336712,4.01158295121978,0.495541364435059,0.036669125680087594,0.00040130255772268165,0.005475285610987572
twist fault when Vw=1.3.xlsx_aug_2,Twist,1.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005488633071421844,4.005514612321816,0.49552811677646047,0.036621423296811596,0.0003973806966213459,0.0054742288566206575
twist fault when Vw=4.7.xlsx,Twist,4.7,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.005326009566375187,3.677825561095497,0.5336512972312013,0.034497,0.000408624,0.005310311132856907
twist fault when Vw=4.7.xlsx_aug_1,Twist,4.7,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0053212485630423296,3.6758375472917404,0.5312264508370727,0.03450207196124732,0.0004075941858407526,0.005305615256438113
twist fault when Vw=4.7.xlsx_aug_2,Twist,4.7,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0053236942132582074,3.6769902876062956,0.5323702659464353,0.034513659663441526,0.0004112988255815726,0.005307782338449283
twist fault when Vw=5.3.xlsx,Twist,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004700981424753771,3.519481199199391,0.5670667084580716,0.029341,0.00037106359999999997,0.004686313920410693
twist fault when Vw=5.3.xlsx_aug_1,Twist,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.0046994379807258875,3.5184912686931265,0.5649186362982808,0.02924195634034233,0.00037191982316132113,0.004684697746901998
twist fault when Vw=5.3.xlsx_aug_2,Twist,5.3,500,"['Time - Voltage_1', 'Amplitude - Voltage_1']",0.004701663511428271,3.5148274720943,0.5652973105027652,0.02922189163532147,0.0003677647886776763,0.004687258136150055
